started_at,ended_at,duration,start_station_id,start_station_name,start_station_description,start_station_latitude,start_station_longitude,end_station_id,end_station_name,end_station_description,end_station_latitude,end_station_longitude
2024-02-01 04:04:32.892000+00:00,2024-02-01 04:13:23.943000+00:00,531,407,Sagene bussholdeplass,langs Kierschovs gate,59.937743,10.751648,413,Majorstuen,på Vinkelplassen,59.929045,10.716926
2024-02-01 04:36:20.769000+00:00,2024-02-01 04:44:28.389000+00:00,487,622,Pilestredet 63,ved trikkestoppet,59.9238826,10.7313627,478,Jernbanetorget,Europarådets plass,59.911901,10.749929
2024-02-01 04:43:01.966000+00:00,2024-02-01 04:58:56.518000+00:00,954,443,Sjøsiden 1 ved trappen,to rader nærmest trappen,59.91014291324254,10.752003700187942,433,Ila,langs Uelandsgt ved Colletts,59.931828,10.748745
2024-02-01 04:44:36.415000+00:00,2024-02-01 05:00:56.396000+00:00,979,447,Kværnerbyen,langs Smeltedigelen,59.904473,10.786167,1023,Professor Aschehougs plass,ved Kristian IVs gate,59.9147672,10.740971
2024-02-01 04:47:03.076000+00:00,2024-02-01 04:51:45.058000+00:00,281,609,Fred Olsens gate,ved Karl Johans gate,59.9110506,10.7493737,452,Vippetangen vest,nærmest Rådhuset,59.903989,10.740627
2024-02-01 05:07:22.158000+00:00,2024-02-01 05:09:28.894000+00:00,126,464,Sukkerbiten,ved gangbroen,59.905124380703484,10.753763553726515,2333,Akerselvallmenningen,øst for Operaen,59.90725889890288,10.754884663589621
2024-02-01 05:07:29.974000+00:00,2024-02-01 05:39:54.315000+00:00,1944,583,Galgeberg,langs St. Halvards gate,59.90707579234818,10.779164402446728,484,Karenslyst allé,ved Skabos vei,59.92033,10.683814
2024-02-01 05:09:40.747000+00:00,2024-02-01 05:22:18.099000+00:00,757,521,Jess Carlsens gate,ved Hausmanns gate,59.9186359,10.7523939,435,Fram-gården,langs Bygdøy Allé,59.915424,10.714577
2024-02-01 05:11:45.970000+00:00,2024-02-01 05:15:52.525000+00:00,246,521,Jess Carlsens gate,ved Hausmanns gate,59.9186359,10.7523939,396,Kirkeristen,ved Torggata,59.91300035973293,10.746760585982287
2024-02-01 05:20:34.253000+00:00,2024-02-01 05:29:02.467000+00:00,508,487,Carl Berners plass nord,ved Hasleveien,59.926929,10.776971,555,Griffenfeldts gate,ved Colletts gate,59.9337026,10.7519299
2024-02-01 05:20:52.119000+00:00,2024-02-01 05:33:23.632000+00:00,751,564,Oscars gate,ved Hegdehaugsveien,59.9224222,10.7272388,452,Vippetangen vest,nærmest Rådhuset,59.903989,10.740627
2024-02-01 05:25:25.135000+00:00,2024-02-01 05:33:27.296000+00:00,482,507,Jens Bjelkes Gate,ved Trondheimsveien,59.91914743024347,10.76412958416006,611,Bankplassen,ved Kirkegata,59.908454,10.741869
2024-02-01 05:29:55.916000+00:00,2024-02-01 05:42:36.444000+00:00,760,406,Carl Berners plass sør,langs Finnmarkgata,59.92507,10.775996,2280,Klingenberggata,By Olav V street,59.913150534075015,10.732281291700133
2024-02-01 05:32:06.860000+00:00,2024-02-01 05:40:58.053000+00:00,531,446,Bislett Stadion,ved rundkjøringen,59.925471317049954,10.73121932213806,483,Hausmanns gate,ved Røde Kors,59.915451,10.758328
